Position,Core,Depth,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Eu_anom,Ce_anom,REE,LREE,MREE,HREE,LREE_HREE
Lower estuary,T1,1.5,15.74,24.22,48.73,5.09,22.46,3.78,0.78,3.65,0.55,2.64,0.5,1.51,0.25,1.4,0.21,0.98,1.01,116,101,11.9,3.4,29.9
Lower estuary,T1,5.5,13.79,38.87,71.58,8.42,30.74,5.2,1.21,4.66,0.57,3.06,0.56,1.66,0.22,1.54,0.2,1.15,0.91,168,150,15.3,3.6,41.2
Lower estuary,T1,8.5,14.09,40.25,76.83,8.67,31.16,5.13,1.2,4.82,0.59,3.19,0.57,1.73,0.23,1.63,0.21,1.14,0.95,176,157,15.5,3.8,41.4
Lower estuary,T1,11.5,14.12,39.7,75.76,8.53,31.43,5.22,1.18,4.72,0.59,3.21,0.6,1.74,0.23,1.65,0.21,1.12,0.95,175,155,15.5,3.8,40.6
Lower estuary,T1,16.5,12.86,35.82,70.44,7.94,29.37,5.02,1.15,4.51,0.57,3.05,0.56,1.68,0.22,1.6,0.2,1.14,0.96,162,144,14.9,3.7,38.9
Lower estuary,T1,29,16.82,32.47,61.46,6.32,26.02,4.38,0.98,4.11,0.61,3.28,0.62,1.83,0.27,1.73,0.25,1.09,0.99,144,127,14,4.1,31
Lower estuary,T1,45,17.47,30.79,61.78,6.38,27.31,4.56,1.02,4.38,0.64,3.2,0.64,1.91,0.28,1.69,0.25,1.08,1.02,145,126,14.4,4.1,30.6
Lower estuary,T1,62,15.22,29,58.14,6.03,24.82,4.3,0.97,3.87,0.6,3.22,0.62,1.75,0.26,1.7,0.25,1.12,1.01,136,118,13.6,4,29.8
Lower estuary,T1,78,17.73,33.77,67.66,7.02,29.2,4.63,1,4.48,0.71,3.87,0.67,1.99,0.3,1.83,0.26,1.03,1.01,157,138,15.4,4.4,31.4
Lower estuary,T2,0.5,11.43,28.17,62.21,6.53,23.7,4.29,1.01,3.72,0.5,2.77,0.52,1.44,0.21,1.47,0.23,1.19,1.06,137,121,12.8,3.3,36
Lower estuary,T2,4.5,12.86,34.91,65.95,7.6,27.64,4.65,1.07,4.14,0.52,2.77,0.51,1.51,0.2,1.39,0.18,1.15,0.93,153,136,13.7,3.3,41.6
Lower estuary,T2,12.5,14.19,42.14,74.18,9,32.46,5.4,1.23,4.83,0.6,3.14,0.58,1.73,0.23,1.61,0.21,1.13,0.88,177,158,15.8,3.8,41.8
Lower estuary,T2,14.5,13.81,41.09,71.55,8.71,31.27,5.16,1.14,4.63,0.57,3.04,0.56,1.67,0.22,1.61,0.21,1.1,0.87,171,153,15.1,3.7,41.1
Lower estuary,T2,16.5,13.12,40.45,87,9.08,34.05,5.38,1.22,4.98,0.63,3.3,0.63,1.82,0.27,1.74,0.26,1.11,1.05,191,171,16.1,4.1,41.7
Lower estuary,T2,21,13.1,41.57,69.74,8.35,30.64,5.12,1.1,4.66,0.56,3.02,0.56,1.71,0.23,1.72,0.23,1.06,0.86,169,150,15,3.9,38.7
Lower estuary,T2,25,13.34,40.59,73.96,8.65,31.31,5.21,1.14,4.68,0.58,3.14,0.57,1.73,0.23,1.67,0.23,1.08,0.91,174,154,15.3,3.8,40.1
Lower estuary,T2,37,10.44,31.59,80.3,7.12,26.92,4.7,1.21,4.14,0.59,3.34,0.61,1.68,0.26,1.74,0.25,1.29,1.14,164,146,14.6,3.9,37.1
Lower estuary,T2,45,13.83,41.82,72.21,8.71,31.66,5.25,1.19,4.7,0.57,3.04,0.56,1.66,0.2,1.48,0.19,1.13,0.87,173,154,15.3,3.5,43.6
Lower estuary,T2,57.5,11.8,35.55,75.93,7.95,28.58,4.94,1.2,4.37,0.57,3.2,0.6,1.67,0.24,1.7,0.25,1.22,1.04,167,148,14.9,3.9,38.3
Middle estuary,T3,0.5,8.61,24.41,50.7,5.06,19.9,3.21,0.71,2.86,0.36,1.96,0.37,1.11,0.18,1.13,0.17,1.11,1.05,112,100,9.5,2.6,38.7
Middle estuary,T3,8.5,9.26,25.13,64.71,6.14,23.22,3.94,0.98,3.76,0.45,2.48,0.45,1.34,0.17,1.25,0.16,1.19,1.2,134,119,12.1,2.9,40.8
Middle estuary,T3,18.5,9.69,25.78,60.77,5.99,23.72,3.92,0.93,3.57,0.43,2.35,0.42,1.28,0.16,1.18,0.15,1.17,1.13,131,116,11.6,2.8,41.9
Middle estuary,T3,31,7.94,22.86,47.85,4.95,18.09,3.15,0.71,2.79,0.37,2.02,0.38,1.15,0.18,1.24,0.19,1.12,1.04,106,94,9.4,2.8,34
Middle estuary,T3,45,9.35,26.2,49.9,5.58,20.08,3.31,0.75,3.09,0.38,2.06,0.38,1.22,0.16,1.3,0.17,1.1,0.95,114,102,10,2.8,35.7
Middle estuary,T3,65,8.74,24.8,52.21,5.49,20.55,3.48,0.82,3.09,0.41,2.18,0.41,1.24,0.19,1.28,0.19,1.17,1.03,116,103,10.4,2.9,35.5
Middle estuary,T3,77,9.55,28.26,53.04,5.94,21.32,3.55,0.82,3.1,0.38,2.02,0.39,1.18,0.15,1.13,0.14,1.16,0.94,121,108,10.2,2.6,41.8
Middle estuary,T3,86,11.82,29.43,62.25,6.57,25.24,4.37,1.05,3.68,0.51,2.7,0.49,1.42,0.22,1.46,0.21,1.23,1.03,140,123,12.8,3.3,37.2
Middle estuary,T4,9.5,11.21,36.85,76.73,7.95,30.17,4.79,1.19,4.46,0.57,2.93,0.57,1.62,0.24,1.46,0.21,1.22,0.97,170,152,14.5,3.5,42.9
Middle estuary,T4,16.5,11.99,32.69,71.31,7.57,32.89,4.73,1.18,4.23,0.53,2.88,0.55,1.6,0.24,1.47,0.22,1.24,1,162,144,14.1,3.5,40.9
Middle estuary,T4,37,11.77,40.79,72.64,8.24,29.49,4.92,1.18,4.37,0.57,2.71,0.56,1.51,0.22,1.34,0.23,1.2,0.94,169,151,14.3,3.3,45.8
Middle estuary,T4,53,12.63,41.85,72.35,8.64,31.21,5.16,1.23,4.65,0.6,2.89,0.59,1.59,0.26,1.44,0.24,1.18,0.88,164,145,15.1,3.5,41.1
Middle estuary,T4,65,12.91,42.9,78.05,8.78,31.68,5.2,1.25,4.64,0.6,2.9,0.6,1.59,0.21,1.46,0.25,1.2,0.94,180,16,15.2,3.5,46
Middle estuary,T4,77,14.54,48.1,84.25,9.58,35.1,5.78,1.38,5.19,0.62,3.3,0.61,1.78,0.23,1.58,0.22,1.19,0.93,198,177,16.9,3.8,46.5
Middle estuary,T4,89,13.53,43.32,92.23,9.81,37.43,6.34,1.55,5.67,0.75,4.06,0.76,2.11,0.3,1.98,0.29,1.22,0.99,207,183,19.1,4.7,39.1
Upper estuary,T5,0.5,12.24,35.61,68.35,6.78,25.81,4.11,1.01,3.48,0.49,2.63,0.49,1.41,0.2,1.28,0.2,1.26,1.02,152,137,12.2,3.1,44.2
Upper estuary,T5,4.5,12.55,44.27,73.9,8.38,30.36,5.31,1.21,4.55,0.55,2.91,0.54,1.6,0.21,1.43,0.2,1.16,0.89,175,157,15.1,3.4,45.7
Upper estuary,T5,12.5,13.18,44.62,78.69,8.83,32.49,5.34,1.29,4.82,0.55,3.05,0.57,1.66,0.21,1.5,0.21,1.2,0.91,184,165,15.6,3.6,46
Upper estuary,T5,21,11.69,43.83,78.09,8.89,32.12,5.15,1.23,4.51,0.54,2.89,0.52,1.6,0.2,1.41,0.2,1.2,0.91,181,163,14.9,3.4,47.9
Upper estuary,T5,35,12.94,46.45,81.71,9.2,33.05,5.39,1.29,4.76,0.57,3.02,0.56,1.66,0.21,1.45,0.2,1.2,0.91,189,170,15.6,3.5,48.4
Upper estuary,T5,41,12.01,45.14,80.79,9.12,33.33,5.42,1.31,4.77,0.58,3.15,0.6,1.63,0.21,1.46,0.2,1.21,0.92,188,168,15.8,3.5,48
Upper estuary,T5,59,13.03,44.94,79.43,8.95,32.53,5.36,1.3,4.49,0.57,2.92,0.54,1.6,0.21,1.42,0.2,1.25,0.91,184,166,15.2,3.4,48.4
Upper estuary,T5,68,13.68,44.07,79.18,8.99,33.94,5.59,1.35,4.91,0.59,3.1,0.57,1.68,0.22,1.37,0.21,1.21,0.92,186,166,16.1,3.5,47.8
Upper estuary,T5,77,13.26,40.56,73.37,8.27,32.63,5.46,1.35,4.74,0.56,2.9,0.56,1.63,0.21,1.4,0.2,1.25,0.92,174,155,15.6,3.4,45
Upper estuary,T5,83,13.04,39.04,74.89,7.57,29.23,4.47,1.12,3.98,0.53,2.8,0.54,1.52,0.21,1.33,0.2,1.25,1.01,167,151,13.4,3.3,46.2
Upper estuary,T6,0.5,11.76,36.06,67.95,6.94,26.88,4.15,1.03,3.63,0.48,2.56,0.49,1.41,0.19,1.27,0.19,1.24,0.99,153,138,12.3,3.1,45.1
Upper estuary,T6,4.5,11.37,39.95,71.25,8.2,29.45,4.84,1.16,4.29,0.52,2.74,0.5,1.48,0.19,1.28,0.17,1.2,0.91,166,149,14.1,3.1,47.6
Upper estuary,T6,12.5,11.75,42.11,74.07,8.39,30.68,5,1.22,4.5,0.53,2.78,0.51,1.51,0.19,1.32,0.18,1.21,0.91,173,155,14.6,3.2,48.5
Upper estuary,T6,16.5,14.29,43.51,80.8,8.91,30.9,5.22,1.29,4.51,0.59,2.91,0.56,1.54,0.23,1.37,0.21,1.25,0.95,182,164,15.1,3.3,49
Upper estuary,T6,21,11.82,47.51,80.78,9.01,32.6,5.24,1.26,4.64,0.55,2.88,0.53,1.55,0.2,1.33,0.18,1.2,0.9,188,170,15.1,3.2,52.2
Upper estuary,T6,37,12.99,49.79,86.69,9.72,35.2,5.75,1.37,4.92,0.61,3.08,0.58,1.65,0.22,1.41,0.19,1.21,0.91,201,181,16.3,3.5,52.4
Upper estuary,T6,45,12.79,47.85,83.92,9.29,33.56,5.5,1.31,4.78,0.57,2.99,0.54,1.6,0.2,1.37,0.19,1.2,0.92,194,175,15.7,3.4,51.9
Upper estuary,T6,65,14.68,48.11,88.67,9.74,35.15,5.8,1.4,5,0.64,3.15,0.61,1.68,0.24,1.39,0.22,1.23,0.95,202,182,16.6,3.5,51.5
Upper estuary,T6,74,12.06,45.59,80.91,9.14,33.22,5.48,1.33,4.86,0.59,3.02,0.56,1.62,0.21,1.42,0.19,1.21,0.91,188,169,15.8,3.4,48.9
Upper estuary,T6,80,12.05,44.41,79.3,8.89,32.54,5.33,1.28,4.73,0.57,3.04,0.56,1.63,0.21,1.41,0.19,1.2,0.92,184,165,15.5,3.4,47.9
Upper estuary,T6,86,14.38,47.8,89.38,9.81,35.71,5.76,1.39,5.13,0.61,3.16,0.57,1.66,0.22,1.44,0.2,1.2,0.95,203,183,16.6,3.5,51.9
Upper estuary,T6,95,15.05,53.56,94.51,10.39,37.29,6.04,1.45,5.43,0.64,3.47,0.62,1.83,0.24,1.59,0.22,1.19,0.92,217,196,17.6,3.9,50.5
Upper estuary,Background,Background,13.15,43.3,85,8.87,33.5,5.46,1.35,4.85,0.6,3.24,0.61,1.76,0.23,1.54,0.22,NA,NA,190,171,16.1,3.76,45.5
Upper estuary,Background,SD,2.22,10.7,8.29,1.59,4.08,0.66,0.1,0.61,0.03,0.2,0.03,0.07,0.01,0.15,0.02,NA,NA,24.7,23.2,1.53,0.25,6.49
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
